Rento,De vitofranceschi,DERRET19T31X469R,Gemona del friuli,Via Dai pretors 15
Massino,Bandiera,BANMAI17O15I405A,Cordovado,Via Roma 40
Favorito,Corrente,COTFAA07I37Y387E,Tavagnacco,Via Umbria 54
Beltrando,Betz,BEEBEO05X20Y476A,Palmanova,Via Cairoli 14
Nereo,Ediare,EDANEE84O13H917P,Cividale del friuli,Via Arno 10
Rosindo,Culube,CUUROI64H18L796R,Frisanco,Via De michieli 3
Amleto,Preziuso,PRZAML01L31F718P,Montereale valcellina,Via Dalmazia 14
Amalfio,Cotena,CONAMF30P07B090B,Moruzzo,Via Centa 3
Primiero,Lio,LIIPRR88O15O350C,Santa maria la longa,Via Roma 16
Menotto,Conte,CONMET49Y32D034Y,Cividale del friuli,Via Giovanni pascoli 30
Giobattista,Ghezzi,GHHGII14B00J660F,Aviano,Via Scuola vecchia 16
Petronio,Isanovar,ISVPEE09G01F650O,Fontanafredda,Via P. paolo pasolini 3
Gioino,Verrienti,VETGII09U03L254R,Pavia di udine,Via Ss. trinita' 16
Ancomarzio,Convertino,COIANM93U10W925F,Azzano decimo,Viale Rimembranze 46
Assunto,Della valle,DEAAST08G37Y087W,San giovanni al natisone,Via Del pozzo 3
Roselmino,Guariglia,GURROM31M39S720R,Campoformido,Piazza Umberto primo 3
Avelio,Gogaj,GOJAVI51X14B468H,Lignano sabbiadoro,Calle Racine 4
Ildo,De mola,DE ILL69M37M135B,Montereale valcellina,Via Castello 12
Nazzario,Merlini,MEINAO03J34N584Z,Muggia,Via Battisti 6
Alideo,Mercante,METALE72G14G841J,Gemona del friuli,Via Xx settembre 39
Brunaldo,Nenna,NENBRN07I34M689I,Frisanco,Via Doz 4
Reneo,Lazzaro,LAAREN28V05V729M,San giovanni al natisone,Via Nazionale 67
Cadmo,Pango,PAACAM60P02F201F,Castelnovo del friuli,Localita  Cruz 24
Livierino,Angiuli,ANGLII28H00O657Y,San dorligo della valle - dolina,Frazione Aquilinia 391
Orvino,Del giudice,DEGORI57T10O759H,Pordenone,Via N. sauro 10
Baldovino,Mercuri,MEIBAO72H29R944U,Azzano decimo,Via Ronchiate 9
Espero,Mola,MOOESO20F27P995D,Casarsa della delizia,Via Del boschetto 24
Ormido,Machado,MADORO80X18K185V,Martignacco,Via Udine 122
Fiorito,Marrone,MANFII98X29N726E,Pasian di prato,Via Beorchia 20
Firminio,Rossini,RONFII89G05N977W,Casarsa della delizia,Via Runcis 25
Ruggiero,Alimovic,ALVRUR06E36A384B,Sesto al reghena,Calle San gallo 10
Mirando,Pernico,PECMIO55R12P216J,Campoformido,Via Principe di udine 44
Iginio,Di corato,DIAIGI58E15F098K,Gradisca d'isonzo,Via Della torre 18
Arduino,Mathivathanan,MANARR65D02E019S,Palmanova,Via Oberdan 4
Orvino,Mingiano,MIAORI40G34B394V,Reana del rojale,Via Celio nanino 18
Giano,De metrio,DEEGIN98K34T141O,Gradisca d'isonzo,Calle Maccari 14
Alerino,Moorthy,MOHALI31D28W220J,Romans d'isonzo,Via Xxv aprile 24
Rogero,Bellino,BEOROG74X35N823Y,Gemona del friuli,Via Giuseppe maitani 54
Idelio,Lenucci,LECIDI77X10F353B,Gradisca d'isonzo,Borgo Trevisan 4
Dalmazzo,Surano,SURDAZ29A38I079K,Gonars,Via Aquileia 77
Giovanpaolo,Farachi,FAHGIO94E38T406K,Tavagnacco,Viale Galileo galilei 40
Sisto,Sordi,SOOSII58K13W921O,San giorgio di nogaro,Via Famula 57
Ortolano,Deniz,DEIORA05P25O341Y,Polcenigo,Localita  Masat 2
Gianuario,Beria,BERGIA82O38S824R,Pasian di prato,Via C.colombo 54
Esedra,Busiello,BUIESA31K14W536X,Tavagnacco,Via San gottardo 26
Nerio,Pranzo,PRZNER12C35P088I,Roveredo in piano,Via Aquileia 7
Emerico,Trisciuzzi,TRIEMR03H08E881T,Cordenons,Via N. sauro 47
Aldiviero,Cozzoli,COOALL57Q11Q785U,Porcia,Corso Italia 62
Firmano,Monte,MOEFIN20W07S725S,Cervignano del friuli,Via Cristoforo colombo 25
Lidamo,D'aurelio,D ILII29W34P348U,Rivignano,Via Enrico fermi 32
Giuliano,Giuliano,GIIGII02N20A269W,Azzano decimo,Via Slissa 5
Primio,Izu,IZUPRR78A17U445T,Azzano decimo,Viale Xxv aprile 7
Andreolo,Frignani,FRIANL89V35P711Q,Reana del rojale,Via I maggio 10
Attilio,Montagnolo,MOAATO91U30P825N,Tarcento,Via Bernadia 55
Rottilio,Paco,PAAROO64P30U314J,Torviscosa,Viale Venaria reale 16
Contardo,Latte,LAECOT92Q11C114T,Cervignano del friuli,Via Cesare pavese 21
Raffello,Sacco,SACRAA95Z31T925O,Tarcento,Via G.ellero 74
Irno,Ibarguen,IBNIRN67L27U168C,San dorligo della valle - dolina,Frazione Mattonaia 491
Esposito,Colasanto,COSESS48L39B090F,Farra d'isonzo,Via Roma 44
Errigo,Magaraggia,MAGERG64X14L174X,Spilimbergo,Via Umberto i 66
Luigi,Negri,NEILUI36J22U873O,Lignano sabbiadoro,Via Padana 30
Epifano,Patavia,PAAEPI06N14Z835J,Buja,Via Gir pizzul 2
Onide,Zizza,ZIZONI79U07V675Q,Cividale del friuli,Piazza Alberto picco 21
Risorgi,Mesiano,MEARIG54P16R539O,Chions,Via Taviella 5
Sabino,Dumitru,DUTSAO83D11O408O,Gonars,Via Monte nero 2
Flaminio,Metafune,MENFLL63B17M558K,Martignacco,Via Cividina 424
Cito,Capaldo,CAACIT97E38F315S,Montereale valcellina,Via Maniago 1
Marrico,Ciarno',CIRMAC86H31D548X,Fontanafredda,Via Amalteo 23
Asmarino,Zizzi,ZIZASA13F25N803C,Meduno,Borgo Mesinis 2
Olferino,Aymone,AYYOLE12G21K892C,Ragogna,Via S.giovanni 12
Orsolino,Jalal,JALORN77S34M383N,Pordenone,Via Dogana 13
Attanasio,El mouhadeb,ELBATI44Q21E768X,San dorligo della valle - dolina,Frazione Prebenico 3
Natalizio,Cipriani,CIRNAZ64K00A364S,Pontebba,Frazione Pietratagliata 79
Fanino,Caramia,CARFAN09N38Y949Q,Latisana,Via Monte ortigara 0
Arsenio,Maggiotto,MAAARN68H06P087A,Pordenone,Via A. mantegna 35
Castrese,Carone,CAECAS49P38V225R,Cordovado,Via Ligugnana 1
Oscherino,De lazzari,DELOSC14A39P029W,Campoformido,Via Quattro novembre 28
Nereo,Bertoni,BEONER46Q24W147O,Spilimbergo,Via Della repubblica 39
Graziello,Ciriolo,CIOGRE10D12I892N,Remanzacco,Casali Battiferro 2
Odoacre,Cardone,CAOODD05Q09H766W,San dorligo della valle - dolina,Frazione Saqnt'antonio in bosco 146
Catone,Feri',FEECAT19A39Y764Y,Erto e casso,Localita  Val da pont 10
Canuto,Frontini,FRNCAU31Y18U939K,Cordovado,Via Btg. gemona 6
Ermacora,Filippi,FIPERR33Z14O754D,Lignano sabbiadoro,Via Arco del caiccio 18
Giberto,Cavalieri,CARGIR18S37A639C,Moruzzo,Via Pegoraro 26
Masiero,Cenerini,CENMAS21Q27D488G,Gemona del friuli,Via Facini 85
Francescantonio,Basangeac,BACFRA30A22X577F,Tricesimo,Via A. manzoni 62
Oberto,Cordova montalvo,COOOBT06R18T623Q,Polcenigo,Via Maggiore 9
Gianni,Baldassarre,BADGIA87M03B458F,Cervignano del friuli,Via Trieste 64
Amorino,Scalera,SCEAMN97K22S083S,Erto e casso,Localita  Pineda 3
Fabrizo,Iovine,IOIFAO10I06K857A,Porcia,Via Colombo c. 12
Aronte,Maggi,MAIARO58N14S495L,Buja,Via San floreano 108
Davinio,Mazzella,MALDAV64A34L866L,Budoia,Via Lachin 34
Pinotto,Gobithan,GOTPIT34U11C976U,Azzano decimo,Piazza Liberta` 40
Riccieri,Verducci,VEDRIC63I28Z009P,Tavagnacco,Via Nazionale 42
Piergiovanni,Decataldo,DEOPIV22T08I806C,Tavagnacco,Via Traiano 15
Nellino,Antoniozzi,ANNNEO16O14A994Z,Romans d'isonzo,Via I maggio 13
Sistilio,Acquaviva,ACCSIS31N00G825H,Cervignano del friuli,Via Arturo malignani 6
Donelio,De grazia,DEZDOO27K24X985F,Brugnera,Via Della fratta 1
Curzio,Fanuzzi,FAACUZ85V37B303A,Frisanco,Borgo Polaz 20
Marsino,Murano,MUAMAS82Q02Q052H,San daniele del friuli,Via Nazionale 73
Roggero,Schifone,SCEROG47I25M483Y,Cordovado,Via Saccudello 36
Ottello,Cicirillo,CIIOTL08E12Z724S,Cordenons,Via V. bellini 6
Renetto,Stefano,STOREO85P36M777O,Pozzuolo del friuli,Via Kennedy 18
Licurgo,D'addio,D DLIO47Z22I214J,Corno di rosazzo,Localita  Casali gallo 6
Alfero,Rizzu,RIZALE33D11Z701Z,Buja,Via Codesio 24
Onide,Ogayon,OGGONN91V27H463D,Pagnacco,Piazza Matteotti 6
Luca,Lettere,LERLUA36Q30C490K,Porcia,Via Gozzi g. 4
Indro,De stefano,DEAINO05Y07H199W,Martignacco,Vicolo Stella 1
Ciriaco,Russo,RUUCIC01S06T929H,Palmanova,Contrada Barbaro 20
Silenio,Parente,PANSII16H05W957N,San giovanni al natisone,Via Chiopris 91
Biblide,Fazio,FAOBIE25O02S420F,Muggia,Localita  Chiampore 20
Gianni,Panzanaro,PANGIA82L06F900K,Tavagnacco,Via Torino 10
Morino,Pernorio,PEOMOI04Y36F723U,Pavia di udine,Via Carnia 6
Berardo,Vastola,VATBEE56S37R499W,Maniago,Via Tolmezzo 28
Floriano,Manzari,MANFLN56B15J827H,Lignano sabbiadoro,Viale Porpetto 47
Illidio,Ricchello,RIOILI78R35X288O,San giorgio della richinvelda,Via Giuseppe garibaldi 1
Palmerindo,Nascosto,NACPAL67O12D518O,Brugnera,Via N. sauro 107
Imeldo,Schito,SCHIML92C16K871B,Coseano,Vicolo Campestre 8
Meschino,Rollo,ROOMEN64J03P598F,Cividale del friuli,Via Mulinuss 12
Oler,Ceribashi,CEEOLR20E12R025X,Tarcento,Via Sammardenchia 17
Fioruccio,Casarano,CARFIC90C17U405V,Aviano,Vicolo Dei gant 10
Eugenio,Degli atti,DETEUG57S07U762R,Pasiano di pordenone,Via Traffe 23
Ormes,Lotteria,LOTORR86U04M162C,Bagnaria arsa,Via V. veneto 7
Egerio,D'onofrio,D NEGR36O26G815G,Azzano decimo,Via Passo 8
Abele,Basurto,BARABL41Q04C653S,Bagnaria arsa,Via Udine 8
Roggiero,Tredici,TRIROO23D00R340G,San giorgio della richinvelda,Via Xx settembre 28
Odorisio,Pinnellini,PINODS28M06O722B,Pozzuolo del friuli,Via Nicolo paganini 0
Riva,Di leo,DI RIA49D27E373M,Fanna,Via Mazzaroli 12
Ferruglio,Zambrini,ZAIFER68G27U761O,Pordenone,Via San leonardo 16
Romualdo,Perrone,PEEROU83G12S180X,San giorgio di nogaro,Via E. maiorana 5
Giampiero,Vastola,VATGII06R02G515G,Muggia,Salita Ai piai 16
Ferrucio,Campagna,CAAFER67U10D967S,Latisana,Via Tisanella 178
Adalindo,De crescenzo,DEEADI49L20Z309R,Pasian di prato,Via Roma 30
Avventino,Foscarini,FOSAVI83P00I520C,Azzano decimo,Via Delle sorgenti 6
Aligio,Potente,POTALG34I39Q233K,San daniele del friuli,Via Roma 13
Gaetano,Petrioli,PELGAO33E36Q843J,Campoformido,Via Undici febbraio 55
Gisberto,Taurino,TAIGIO93S15O297P,Aquileia,Localita  Beligna 103
Reanto,Antoszewska,ANNREA62L29D170R,San giovanni al natisone,Via G. biancon 11
Eudilio,Durante margiotta,DU EUD90Q38M510P,Tavagnacco,Via M. buonarroti 40
Aldemo,Modeo,MOOALD50T33P944F,Azzano decimo,Via Del bruson 12
Sandrino,Demarinis,DENSAA69O11N805E,San giorgio della richinvelda,Via Belvedere 69
Fulceri,Kanagaratnam,KAAFUU80W17T820A,Cordenons,Via D. carbonera 12
Nuto,Carrone,CARNUO98K05X419O,Gonars,Via Monte santo 4
Illidio,Parlati,PARILI14R24I772S,Palmanova,Via Manzoni 31
Basilio,Salomone,SAOBAI24W13Z474F,Sequals,Via Dei tigli 12
Quido,Vetere rossi,VESQUD60D34Z588Y,Gradisca d'isonzo,Via Gorizia 11
Policarpio,Ravenna,RAAPOO36C38X492U,Campoformido,Via L.da vinci 51
Gianetto,Okaz,OKKGIO85B15F424C,Brugnera,Via Conedera 20
Germinale,Ariodante,AREGEE06U09O330F,Pasiano di pordenone,Via Cornizzai 72
Decio,Carloni,CALDEI10Y25E118X,Pinzano al tagliamento,Via Xx settembre 84
Ramone,Accoto,ACTRAN96J05W895Q,Artegna,Via Dei campi 1
Aminto,Umali,UMMAMM30C03W029I,Palmanova,Contrada Foscarini 23
Cadmo,Rodriguez,ROZCAD64B37I169V,Buja,Strada Provinciale osovana 7
Monio,De souza,DE MOI41A37G314F,Torviscosa,Strada Di chiarmacis 66
Oriade,Prizreni,PRZORE02W21T274L,Cordenons,Via G. donizetti 8
Loretto,Caporotundo,CANLOO81F05R880O,Muggia,Calle Volta 13
Brandisio,Liso,LIIBRI13U19G197B,Chions,Via Villafranca 46
Lorenzino,Giumentaro,GINLON68Y24M803T,Carlino,Via Levaduzza 9
Elsino,Salomone,SAOELS18E33N314I,Lignano sabbiadoro,Villaggio Mimosa 16
Remedio,Rucco,RUOREM07S01K521E,Fontanafredda,Via Rivata 36
Provvido,Baglivo,BALPRO80Z23G644U,Visco,Via G. oberdan 20
Eucherio,Avagliano,AVVEUC12U08P676B,Torviscosa,Via Romagnoli 13
Fanore,Nabil,NAAFAN92Q09G992E,Montereale valcellina,Via De amicis 2
Ormano,Minnella,MILORO28C17W578B,Castelnovo del friuli,Localita  Castello 3
Felicino,Osarenkhoe,OSOFEI96T09R569R,Aviano,Via Vicin 8
Niso,Coia,COANII59W12C320C,Pordenone,Via Beata domicilla 33
Nicolantonio,Carella,CAANIO65B14J493F,Pordenone,Via Nuova di corva 1
Oves,Lanzilao,LANOVV36G26I690E,Cervignano del friuli,Via Udine 29
Ferardo,Stomeo,STOFEO88C30Q081L,Gonars,Via Alturis 13
Annino,Tricarico,TRIANN59W38F805B,Clauzetto,Via Val da ros 17
Azeglio,Ascenzo,ASSAZI20N23G900O,Sesto al reghena,Via Roma 15
Silverio,Pentassuglia,PESSIO58F01B428I,Pasian di prato,Via C.colombo 210
Barbato,Colombo,COOBAB43Y08A577Z,Cervignano del friuli,Via Cristoforo colombo 18
Gradisco,Scrimieri,SCEGRA29P37R555F,Azzano decimo,Via Quattro novembre 2
Niccodemo,Fabrizio,FAINIE81Q33V750W,Remanzacco,Case Del malina 30
Flori,Cebula,CEEFLI73O39Z860G,Cividale del friuli,Via Santa chiara 7
Lodovino,Petitti,PEELOV17F31Z487D,Porpetto,Via Bonomelli 19
Immo,Van bladel,VAEIMM60F28K553R,Pordenone,Via L. de paoli 3
Idalio,Mortillaro,MOAIDD98N27P295I,Lignano sabbiadoro,Villaggio Tarvisio 2
Clemente,Almiento,ALNCLE37S22D131T,Azzano decimo,Via Zuiano 21
Cruciano,Manigrasso,MASCRN14O39U735A,Castelnovo del friuli,Localita  Sottoforca 11
Basileo,De austria,DEIBAL04F00F011X,Lignano sabbiadoro,Viale Della pittura 26
Oviglio,Dell'erba,DEROVL55G05E786W,Pradamano,Via Giosue' carducci 131
Anteo,Almiento,ALEANT28I01F215X,Brugnera,Piazza Roma 12
Canio,La barbera,LARCAA50P29K394H,Spilimbergo,Via Miramonti 8
Corino,Soni,SOICOO59D26G952G,Azzano decimo,Via Nuova fratte 46
Alpino,Argentiero,AROALI39I05E274O,Fontanafredda,Via A. bortoluzzi 29
Guerrando,Daggiano,DAGGUO31E27H088G,Cividale del friuli,Via Manzano 32
Benno,Pauler,PARBEO98A35K614R,Lignano sabbiadoro,Calle Rubens 9
Riego,Morena,MONRII19M14G574Y,Cassacco,Viale Chiurlo b. 12
Alghero,Andrenucci,ANCALE24J31N923O,Cividale del friuli,Localita  Busa cappello 5
Quiro,Mazzariello,MAIQUO63O23M472E,Pavia di udine,Via Buttrio 12
Nullo,Giumentaro,GIONUL47N08V745X,Buttrio,Via Del pozzo 7
Astorre,Scanu,SCNAST87J25G796M,Pasian di prato,Via Verdi 46
Nono,Di renzo,DIINOO35J34B251Q,Duino-aurisina,Frazione Sistiana 10
Eufrosino,Burroni,BUNEUF04A39E529F,Tarcento,Via Urana 2
Reno,Cucchiara,CUCREE28U26O643J,San daniele del friuli,Via R.biasutti 9
Emerigo,Favale,FAVEMR04P09Z319J,Casarsa della delizia,Via Segluzza 10
Arianno,Brancato,BRNARA69K39Z395Z,Cividale del friuli,Via Ugo foscolo 51
Evangelisto,Salento,SAOEVV76S23N302I,Lignano sabbiadoro,Via Arco del tramonto 171
Chiarello,Di sirio,DIICHL48M06B550O,Polcenigo,Via Giuliana 14
Fioriso,Pirandola,PIAFIS53R12C040A,Cordovado,Via Belvedere 11
Saverino,Ozzi,OZZSAE40M02U095B,Pordenone,Via Eraclea 15
Cicito,Accarino,ACOCIC49Z29E068Q,Porcia,Corso Italia 26
Castorino,Verifica,VEICAT77A21F714E,Corno di rosazzo,Via Quattroventi 36
Adelmaro,Mariggio',MAIADE38I13X082H,Pasiano di pordenone,Via Galoppat 102
Flamino,Brescia,BREFLM08J18J269T,Fontanafredda,Via Brig. osoppo 77
Aldoino,Terribile,TELALI05J29Q791L,Pordenone,Via Piave 55
Efisio,Di maggio,DIIEFF14Z19Q404T,Pordenone,Via Iii armata 23
Maido,Musano,MUOMAA54C23T178Y,Malborghetto valbruna,Via Pineta 30
Egildo,Caus,CAUEGD80P17G668V,San giorgio della richinvelda,Via Pietro zorutti 9
Calcedonio,De benedetto,DEBCAI21E29B469P,Gemona del friuli,Via Taboga 161
Aliso,Motfi,MOOALL70X35C583X,Pordenone,Via Piave 121
Iso,Monteleone,MOLISS99V38W242I,Buja,Via Del pravilegjo 13
Misiano,Calaj,CAJMIO03O18K521F,Cordenons,Via Livenza 12
Ionello,De liso,DESION15T13V333N,Artegna,Via Aplia inferiore 1
Leonzio,Di lauro,DIULEZ76L25V620J,Chions,Via Trento 4
Rideo,Magno,MAORID45R02F281H,Cividale del friuli,Via Luinis 21
Giangiorgio,Cardinali,CADGIG54T28M849A,Pordenone,Via Sabaudia 21
Odillo,Torsello,TOEODL79K22V938N,Aquileia,Localita  Beligna 94
Clodoveo,Villani lubelli,VIECLL87N20G448W,Marano lagunare,Via Degli orti 16
Sisino,Alighieri,ALRSII58Y21O690E,Palazzolo dello stella,Via Degli artieri 44
Efisio,Malinconico,MAOEFO33Q22A153D,San giorgio della richinvelda,Via Del ciasteler 2
Olivetto,De bartolo,DEBOLT75Y13I569U,San giorgio della richinvelda,Via Divisione julia 3
Iorio,Malvarosa,MASIOI78V27X256U,San giorgio della richinvelda,Via Boschetto 9
Belisario,Tusino,TUUBEA55C09H229H,Polcenigo,Via Gorgazzo 6
Guglielmo,Mare,MAEGUG67M02K321Y,Cordenons,Via Montello 50
Memore,Rielli,RIIMER14D07Z729F,Campoformido,Via Soreville 175
Robustiano,Jitcu,JITROT08C33T033X,San giorgio di nogaro,Via Trieste 19
Oto,Librando,LIAOTO02S39T160X,San quirino,Via Trieste 15
Pietropaolo,Lanciano,LAIPIO42W22O613S,Gonars,Via Palmanova 8
Elmiro,Bellomi,BELELM53Y37Y220X,Tavagnacco,Via Della chiesa 50
Frazino,Anela federico,ANEFRN02G02D063G,Pordenone,Via Meduna 55
Rosolino,Carrieri,CAIROO68P14H886T,Lignano sabbiadoro,Calle Mozart 7
Gottardino,Messuti,METGOT04J06B763Z,Tarcento,Via Sammardenchia 102
Romildo,Totaro fila,TOAROO00X09V626Q,Tarcento,Via Del colle 10
Baldasarre,Barile,BAIBAL39E22U492B,Roveredo in piano,Via Sant'agnese 6
Finao,Raganato,RAGFIA93L14S038H,Duino-aurisina,Frazione Aurisina cave 68
Beno,Del re,DELBEO86J14X260K,Pordenone,Viale M. grigoletti 3
Alcesto,Di sansebastiano,DIOALE62H39M265U,Pordenone,Via G. deledda 8
Livo,Maddalena,MAALIV99M27W301V,Artegna,Via Vicenza 32
Corinno,Bologna,BOACON17O08G722S,Ragogna,Via Canodusso 7
Albanino,Testini,TEIALL93D24C916O,Reana del rojale,Via G. garibaldi 36
Ridio,Duggan,DUGRIO88E33R388T,Gonars,Via Patoc 13
Amalio,Lisi,LIIAMA40L31G751E,Gemona del friuli,Via Sofia pecol 9
Olegario,Forzale,FOEOLG88W23I988C,Cervignano del friuli,Vicolo Delle semine 6
Leonardo,Tondo,TOOLED07S37R082R,Pordenone,Via Villanova 68
Roviglio,D'ascoli,D CROI26K06R108B,Pordenone,Via Gere 28
Rosellino,Cuscuna',CUUROO99E28Q858F,Moruzzo,Riva Dal mas 7
Dazzo,Capocelli,CAADAA32E37F956D,Tricesimo,Via G. matteotti 12
Simplicio,Delicato,DEOSII77T10F050D,Montereale valcellina,Via M.ciotti 22
Altobrando,Manfreda,MADALO38L10F498W,Buja,Via Napoleonica 4
Laurenzio,Lobuono,LOOLAO61G03L078P,Romans d'isonzo,Via San giorgio 3
Massenzio,Frassanti,FRAMAI12D38R041M,San daniele del friuli,Via Chiamanis 23
Alighieri,Patane',PA ALH76O21E778Z,Montereale valcellina,Via Dell'omo 5
Nabucco,Nicolae,NIANAC76S20L621U,Gemona del friuli,Via Ledra 1
Amadeo,Colitta,COTAMD72J11V682D,Gradisca d'isonzo,Via Palmanova 43
Gianlorenzo,Andrei,ANNGIO90A38M217E,San giorgio di nogaro,Via Del rio 11
Fiorillo,Margapoti,MAAFII99I22R512J,San giorgio di nogaro,Via Canciani 12
Iano,Borelli,BOLIAN03A32Q326I,Gemona del friuli,Via Campo 66
Coletto,Farfalla,FAFCOT83D07G752O,Cordovado,Via D.circonvallazione 28
Gasparino,Fabbri,FABGAP88I06Y147Y,Fiumicello,Via Isonzo 22
Aniceto,Cifarelli,CIFANN65Q18S536U,Fontanafredda,Piazza Julia 4
Pierpaolo,Gamad alarcio,GAAPIR21P12J962T,Pasian di prato,Via Beorchia 12
Indro,Conti,COOINO84H22R607W,Buja,Via Tonzolano 115
Russo,Piccolo,PIORUS43N07S876F,Porpetto,Via Moro aldo 9
Protaso,Maci,MAIPRO78P20S099G,Campoformido,Via Carpeneto 95
Bibiano,Feliconi,FEOBIB22W11Y354E,Morsano al tagliamento,Via Morasano 35
Noviglio,Cano',CAANOI98R32G461R,Tricesimo,Piazza G. ellero 1
Disma,Biondino,BIDDIA39L05B495E,Chions,Via Villutta 20
Cola,El shafay,ELACOO15Y06M143L,Lignano sabbiadoro,Piazza Dei venti 30
Metauro,Monastirioti,MOIMEE72U37Y475F,Porcia,Via Zuccolo 68
Carminuccio,Prence,PRCCAR11T13U240V,Martignacco,Vicolo Valusso 2
Biblide,D'amico,D MBII12B08X314H,Buja,Via Codesio 3
Dionisio,Melito,METDIO05A26H259J,Pasian di prato,Via Dante 18
Fabiano,Cherubino,CHIFAN85M33H309R,Muggia,Via Dei carpentieri 2
Rosmino,De leo,DEEROS58D19X979V,Polcenigo,Vicolo Dorighi 6
Elleno,Amaranto,AMTELE73W17I637Y,Lignano sabbiadoro,Via Carinzia 13
Gemiliano,Pacheco payano,PACGEE12O06N281V,Pasian di prato,Via Gorizia 27
Maceo,Cardini,CARMAO38C38Y766L,Aviano,Via Dei molini 30
Efraimo,Veneziano,VEZEFM54M36Q820Q,Fontanafredda,Via Custoza 26
Alearco,Fellini,FENALE20J07V575T,San giorgio di nogaro,Viale Europa unita 2
Novemio,De nuzzo,DEENOO17M08Q187C,Porcia,Via Repolle 33
Enotrio,Calviello,CAOENO89J37R352X,Brugnera,Via Fermi 11
Provvidenzio,Delle site,DE PRO17O35D558Z,Pavia di udine,Via Don francesco zossi 9
Artico,Fallo,FAAART35O08I722B,Arzene,Via Maggiore 72
Licerio,Kusey,KUELIE75O13I702C,Aviano,Via Piero tajariol 16
Leucio,Trotta,TROLEI51H24X793V,Lignano sabbiadoro,Viale Del bosco 7
Oser,Cocco,COOOSS97U27G551B,Travesio,Via Molevana 49
Beniamino,Imparato,IMABEO16D14B885P,Tavagnacco,Via Tito livio 23
Brillantino,Toffoletti,TOOBRI47P05Y115X,San giovanni al natisone,Via Quattro novembre 105
Faustolo,Ciannamea,CIAFAO87B35P297F,Duino-aurisina,Frazione S.giovanni di duino 3
Aronne,Dervishaj,DEJARO55G04G088O,Erto e casso,Via Val de la brã™asa 12
Jano,Coli',CO JAN64U01Z631B,Aviano,Via 24 maggio 37
Agilulfo,Pisanello,PIIAGL16M29N264V,Morsano al tagliamento,Via Borgo fiore 14
Rustico,Mollese,MOERUO04O31E749C,Azzano decimo,Via Geresina 4
Eupremio,Marrone,MAREUE21E37J180C,Tramonti di sotto,Via Pielli 2
Portos,Picinni leopardi,PI POR71S02L726V,Reana del rojale,Via Del santuario 65
Fedio,Porzio,POOFEI58L26Z867B,Cordenons,Via Del cristo 39
Ridanio,Annicchiarico,ANCRIN81Y26G459C,Duino-aurisina,Frazione Sistiana 57
Niceo,Lugnan,LUGNIO26V38A853S,Aviano,Via Del casato 14
Rubis,Palazzi,PAZRUI70O03Z289C,Muzzana del turgnano,Via Castions 72
Rediano,Taurino,TARREA09K33G662Y,Frisanco,Via Bernardon michele 6
Eritreo,Balasingam,BASERR36P18A415A,Remanzacco,Strada Di ronchis 3
