Forte,Pulli,PULFOO41I00A102S,Morsano al tagliamento,Via Bassa 7
Sereno,Liverani,LIRSEO27S35Y329M,Tarcento,Via Della faula 8
Finaldo,Maccagnano,MAOFII65S01R929N,Farra d'isonzo,Via Pietro zorutti 8
Gasperino,Orfeo,OROGAN56F24B315Y,San dorligo della valle - dolina,Frazione Caresana 2
Africano,Giovannini,GIOAFO19V03U305S,Azzano decimo,Via Olimpia 7
Palmiero,Marinelli,MAAPAI01G18Q870M,Tarcento,Via Riviera d.ponente 9
Alessio,Vincenti,VITALL29F16I577R,Roveredo in piano,Piazza Roma 7
Amintore,Sinisi,SISAMR48X24U699E,Bagnaria arsa,Via Lombardia 2
Faro,Behlaoui,BEHFAO29U24F958B,Pasian di prato,Piazza Cinque martiri 28
Filandro,Di muro,DIRFIO39U27E707U,Cordenons,Via D. alighieri 24
Gianmauro,Rotella,ROAGIU43J04I799A,Cordenons,Via A. volta 3
Gerlando,Castelli,CASGEE43Q15H979O,Pordenone,Via Conegliano 11
Basso,Ninno,NINBAS39A29U479O,San daniele del friuli,Via Rodeano 19
Ondedo,Chiatante,CHNOND91Q29A019P,Aquileia,Localita  Bonifica iv partita 32
Eutimio,Ventura,VENEUM09F33T539N,Travesio,Via Villa 132
Livenzo,Fioretti,FIILII19C18P401V,Latisana,Via Risorgimento 61
Isabello,Borrelli,BOEISL54V26X044J,Roveredo in piano,Via San sebastiano 26
Eden,Console,CONEDD73V35G904O,Pordenone,Via San quirino 24
Marsilio,Ingletti,INLMAI67R09T899D,Ragogna,Via Vol.della liberta' 9
Ermippo,Lefons,LENERR27G12M129K,Bagnaria arsa,Via V. veneto 27
Coronato,De marianis,DE COR79U35J751X,Brugnera,Via N. sauro 61
Gerasimo,Brando,BRDGEE53G09B697F,Cividale del friuli,Via Vecchia di palma 30
Bisio,Pacucci,PACBIO05O23G219C,Fontanafredda,Via Pontebbana 8
Alviso,Luongo,LUUALL89J22R013O,Pordenone,Via E. fermi 9
Isodoro,Putignano,PUUISO71B24C707B,Martignacco,Via S.maria maggiore 2
Nicasio,Aliffi,ALLNIC97M31N583M,Remanzacco,Piazza Miani ten. col. giordano 3
Onilio,Di nunno,DINONI34Z14N795F,Savogna d'isonzo,Via I maggio 114
Sabino,Criscolo,CRSSAA96E28H190U,Medea,Via Zorutti 20
Niccolo,Machado,MAANIO85J00Y045Y,Bagnaria arsa,Via Tolmezzo 3
Floridio,Maldera,MAAFLO29F31W673T,Reana del rojale,Via San tommaso 13
Desio,Palumbo capozza,PAADEI26Z35O559R,Majano,Via Milano 4
Idalberto,Chirienti,CHIIDE13N04F695W,Cordenons,Via C. battisti 54
Ottonello,Lomonaco,LOCOTT04Z00E805I,San giovanni al natisone,Via Quattro novembre 142
Reggiano,Mugo,MUUREG41G06I719L,Tarcento,Via Val ronchi 5
Nemesio,Galiulo,GAONEI05U17H502O,Tarcento,Via Sammardenchia 23
Irnerio,Ricci,RIIIRO75N04L825M,Muzzana del turgnano,Via Municipio 24
Siegfried,Capitanio,CATSIE35Y34X724C,Gradisca d'isonzo,Via Dei feudi 1
Rainerio,Convertini,COIRAA42M19O726P,Tarcento,Via Antrons 10
Fridiano,Cannazza,CANFRA54C20N878D,Lignano sabbiadoro,Via Po 1
Barsanofio,Khoundafi,KHDBAI15F19F647X,Gemona del friuli,Via Val di fiemme 15
Giachino,Carone,CANGIO27B01N824W,Moruzzo,Via Borgo nonesso 3
Priamo,Rossi berarducci vives,RODPRO97S00E443G,Campoformido,Via Napoleonica 17
Nicoletto,Sticchi,STINIL58N22G890U,Tavagnacco,Via Iv novembre 11
Oderisi,Galiulo,GAUODI83X03T462G,Majano,Via Valtellina 14
Bonando,Selvaggi,SEVBOA71R30N984N,Gemona del friuli,Via Sofia pecol 63
Euplio,Linciano,LINEUP47Z18J084I,Tarcento,Via Lungotorre 55
Brunetto,Bresciani,BRCBRR21D32T079S,Cividale del friuli,Via Darnazzacco 42
Adalgerio,Hysi,HYSADO45U15P950S,Martignacco,Via Cividina 33
Sofio,De donatis,DEOSOI96E00G364D,Aviano,Via Trieste 161
Onorio,Galati,GATONN71S30Q016N,Tarcento,Via Martiri d.liberta' 2
Decimino,Crescenzio,CRRDEO60A37A157B,Montereale valcellina,Piazza Iv novembre 14
Lealdo,Caporotundo,CAPLEO94P07R882U,Bagnaria arsa,Via Roma 18
Gemino,Di teo,DIOGEE40A30L611Z,Pradamano,Via Delle muraglie 6
Ciro,Carafa,CAACII94I15L478N,Latisana,Via Lignano sabbiadoro 105
Alfio,Greco,GRRALI30F04D958E,Sequals,Via Della roggia 30
Orione,Venturoso,VERORN66U03D646W,Cividale del friuli,Via Scipione da manzano 30
Osasco,Cannazza,CAAOSA47Q03C825H,Torviscosa,Via Cesare pavese 1
Elvo,Molinario,MOLELO37L10R067N,Palmanova,Via Minotto 9
Meno,Galizia,GAZMEO99F32S954L,Fontanafredda,Via P. paolo pasolini 32
Galeano,Patera,PATGAO42J04E491I,Muzzana del turgnano,Via S.giorgio 16
Aduino,Golizia,GOOADI41W10M788F,Montereale valcellina,Via Montenero 22
Monio,Ding,DIIMOO39E36K575E,Remanzacco,Via Braidotti don pietro 16
Odero,Margheriti,MAIODD12A23O734N,Fontanafredda,Via Brig. osoppo 216
Onezio,Paparesta,PAAONN94P10S707M,Cividale del friuli,Via Prepositura di santo stefano 21
Dardo,Pico,PICDAR90U19S412K,Buja,Via Solaris 43
Orenzio,Micalella,MIAORO11C03D421T,Pozzuolo del friuli,Via Campoformido 47
Ricordino,Biasco,BIIRII89K21M340Y,Corno di rosazzo,Via Matteotti 14
Ferriero,Lavolpicella,LALFER14Y26Y871Y,Gemona del friuli,Via Stalis 123
Algeo,Felicia,FELALG10Y18Q059K,Aviano,Piazza Nicolã’ da maniago 1
Eros,Fabrizio,FAIERS43L37P447X,Martignacco,Via Plaino 70
Sabbatino,Di pentima,DINSAB71C19I160D,Aquileia,Via Rosa rosemberg 19
Olferino,Silvestri,SIIOLE48F19D110G,Ragogna,Via Al ponte 5
Lele,Biasini,BIILEE31T28O200X,Artegna,Via Sornico inferiore 16
Folgore,Buffelli,BUIFOR78L38D839T,Campoformido,Via Cormor 42
Ivio,Costagliola,COSIVI25V05P531B,Casarsa della delizia,Via Piave 19
Loris,Spadavecchia,SPALOO15Y29V813B,Medea,Via Zorutti 3
Bixio,Muscedra,MUDBII94E26A040P,Frisanco,Strada provinciale Pala - barzana ovest 3
Goliardo,Marinaccio,MAAGOO75X14K064M,Gradisca d'isonzo,Via Degli orti 5
Lidano,Matei,MAELIA42A39H445Z,Pozzuolo del friuli,Via Basaldella 43
Dolindo,Picciolo,PIIDOO98D38H024S,Pozzuolo del friuli,Via A.manzoni 4
Carolo,Flanagin,FLLCAA42O29K036J,Latisana,Via Dei ghiozzi 24
Diego,Conti,CONDII49G39J011Y,Porcia,Via Torricelli e. 10
Giosafatto,Corso,COSGII77M22T858X,Cervignano del friuli,Vicolo Modon 7
Gisberto,Johnson navaneethakumar,JOAGIS82U34V367J,Pordenone,Via P. pomo 2
Adalgerio,Arbabi deharbab,ARIADG78E30S613R,Sgonico,Frazione Gabrovizza/gabrovec 2
Ostiglio,Parlangeli,PAEOSS72W33E853Z,Brugnera,Via Aldo moro 28
Luciano,Di giulio,DIOLUO67X09U845Y,San dorligo della valle - dolina,Frazione Bagnoli della rosandra 41
Franchino,Basangeac,BACFRN85D24G937K,Remanzacco,Case Del malina 19
Marciliano,Goffredo,GODMAO56Q02W776T,Sequals,Via Vecchia 8
Redes,Bocca,BOAREE57L32F639C,Cividale del friuli,Via Prepositura di santo stefano 13
Marietto,D'ammacco,D CMAT57G39F810F,Buja,Via Rive di cai 45
Rustico,Krytha,KRRRUT21A14F621P,Porcia,Via Bodegan 5
Enzino,Fanciullo,FALENO11A16B955G,Martignacco,Via Xxv aprile 1945 56
Onillo,Casi lebbe,CA ONI34W00Z917O,Pasian di prato,Via Passons 17
Maggiorino,Bozzi,BOZMAA66C00B582R,Meduno,Via Costa 4
Adorato,Alessandri,ALLADD20Y16E246K,Pordenone,Via Nuova di corva 83
Oreglio,Caroli casavola,CALORG61U18C345B,Tavagnacco,Via Branco 125
Cleonte,Mollica,MOLCLL01A16K650S,Cividale del friuli,Viale Foramitti 4
Olivo,Chernenko,CHOOLO63N05I594Q,Brugnera,Via Bosco novello 3
Laurindo,Fenucci,FEILAO18T39Y066C,Pasiano di pordenone,Via Frascade 12
Carminio,Corsini,COICAN06H33Y024Y,San daniele del friuli,Via Europa 52
Dazio,Wagne,WAADAA13O06R713Z,Farra d'isonzo,Via Contessa beretta 33
Mondiale,Lestingi,LETMOD50C21Z645P,Pagnacco,Via V. colombatti 10
Oderisi,Giudetti,GIIODE77U06M706H,Fontanafredda,Via G. g. lirutti 45
Iro,Fino,FIIIRO72F31S778D,Pozzuolo del friuli,Via Della tomba antica 4
Ivo,Pulieri,PUIIVO63P23C843I,Campoformido,Via Fabio asquini 15
Bertoldo,Chiatante,CHIBET46I33X899G,Tavagnacco,Via Liguria 6
Goro,Delle canne,DECGOO36X06K199J,Azzano decimo,Via Fautario 65
Piersilvio,Marconi,MACPIL98Y29X882Q,Buja,Via Urbignacco 45
Protasio,Intini,INNPRR27P29K859T,Pinzano al tagliamento,Borgo Ampiano 23
Attone,Bardaro,BAAATO52O29O536U,Rivignano,Via Umberto i 69
Ferrantino,Polito,POTFER01B19M377O,Pordenone,Via Tiro a segno 25
Perseo,Cattivera,CAIPEO50B09S267X,Cividale del friuli,Viale Liberta' 111
Alceste,Da costa,DAAALE68Q31J300J,Aviano,Via Pietro del zoccol 1
Lepido,Silipo,SIPLEO48Q17O691I,San giorgio di nogaro,Via Ronchi 13
Niccolò,Amorosi,AMONII00F09T420S,Arzene,Via Maggiore 41
Rosanno,Grossi,GRIROO07J26S894U,Gemona del friuli,Via Val di fiemme 33
Lavino,Ly,LYYLAA32R03I776J,Spilimbergo,Via Damiano chiesa 4
Gemiliano,Puyales,PUAGEN06C15J485K,Casarsa della delizia,Via Trieste 36
Frazino,Acito,ACCFRZ97O15J998D,Cassacco,Via Sottocastello 23
Rovaldo,Tirico,TIIROD09M29F983Y,Gemona del friuli,Via Facini 89
Reffaele,Corleto,COLREE23D19H326C,Santa maria la longa,Via Claujano 1
Marinuccio,Della noce,DEAMAC53A07T814V,Martignacco,Via Plaino 56
Fiorigi,Oprea,OPPFII07B37X254H,Gemona del friuli,Via Brondani 16
Sestino,Chittani,CHISEO96K13X570X,Cordenons,Via Martiri della liberta 5
Eglantino,Bautista morales,BAOEGG53U04E474L,Trivignano udinese,Casali Fornaciata 8
Lavino,Contuzzi,COZLAI64I13R330D,Porcia,Via Gabelli a. 42
Giberto,D'agostinis,D OGIB13O17R746W,Cordovado,Vicolo Rivis 6
Roseto,Mari,MAAROT66U04Y273F,Cividale del friuli,Viale Trieste 57
Pascuccio,Carata,CAAPAU67C26W621M,Remanzacco,Casali Battiferro 9
Magdalo,Vitto,VIOMAL49X39Z417G,Cividale del friuli,Via Fratelli cervi 1
Beno,Filoni,FIIBEN33J19V065E,Meduno,Via Ciago 8
Ottocaro,Nardo',NAOOTO74U16Q025N,Pordenone,Viale Dante 19
Gabrio,Nucci,NUCGAB76H09V675V,Gemona del friuli,Via Marzars 32
Redentino,Fama',FAAREN33Q30N399Y,Cervignano del friuli,Via Silvio marcuzzi - montes 23
Gero,Carichino,CAIGEO33Z19O688I,Polcenigo,Via Range 18
Olderigi,Sperini,SPNOLG77U14R152K,Spilimbergo,Via Dei gigli 2
Reulo,Ardone,ARDREE59V21G839P,Muzzana del turgnano,Via Palazzolo 45
Eufemio,Cazzella,CALEUI21K26Y543D,Fiumicello,Via Indipendenza 28
Provvidenzio,Fortu,FOTPRD96Q06G145A,San giorgio di nogaro,Via Famula 27
Mainardo,Macalindol cadacio,MA MAA88D29C669J,Casarsa della delizia,Via Villa 54
Giovanmaria,Sankhala,SALGIA34B16W319Q,Gonars,Via Dante 69
Donatino,Tramacere,TRADON07K28B180K,Coseano,Via Della pace 75
Gorizio,John,JONGOZ88N10N806K,Latisana,Via Braccio di volta 168
Idilio,Profilo,PRLIDL20U39Y174D,Buttrio,Via A.manzoni 11
Amonastro,Galbiati,GAAAMS95N21Y411X,Azzano decimo,Via Albera 25
Gianandrea,Romita,ROMGIN33E04Z323Z,Pavia di udine,Via Bareglot 2
Olferino,Manieri,MAIOLO18J18P810E,San quirino,Via Beorchia 14
Altorino,Mocellin,MONALI81I10B278W,Muggia,Localita  Lazzaretto 8
Altieri,Liuni,LIIALI61P33V817Z,Tavagnacco,Viale Galileo galilei 6
Nilio,Muci,MUINIO63L18M256Q,Montereale valcellina,Via Roma 9
Arturino,Falcione,FACARR56J34I866V,Marano lagunare,Via Strozzi 7
Gelio,Spoti,SPIGEE50C06P914O,Pasian di prato,Via Ledra 14
Cristofaro,Carallo,CAACRO07T26W421J,Porcia,Via S.martino 22
Feliciano,Adami,ADDFEA10B38C542I,Pavia di udine,Via Ss. trinita' 18
Rodomiro,Scupola,SCAROI43O17L124D,Brugnera,Via Volta 38
Olvino,Bressan,BREOLI32O10Y248H,Rivignano,Via Giacomo leopardi 12
Fenizio,Marrano,MARFEZ61K29U552N,Remanzacco,Viale Del sole 52
Faraone,Sozzo,SOOFAE52D30G216X,Cividale del friuli,Strada Di spessa 5
Frido,Lementini,LEIFRR75I18O104H,Buja,Via Solaris 56
Ermes,Lagioia,LAIERR81G12R139G,Savogna d'isonzo,Via I maggio 42
Fidaldo,Bassani,BAAFID04R19O636I,Tavagnacco,Via Nazionale 52
Belfiore,Argentieri,AREBEL24N25F750Q,Cordenons,Via Del cristo 30
Benvenuto,D'introno,D RBEE44X02K007N,Pordenone,Via Ortigara 36
Cino,Casu,CAUCII05Z06V808U,Casarsa della delizia,Via P. zorutti 3
Palmero,Capilungo,CAIPAM00C37L546N,Roveredo in piano,Via G. carducci 12
Anzio,Rivela,RIEANN23Y19H092Y,Azzano decimo,Via Pradolino di sin. 9
Arceo,Finamore,FIOARR68X00S284P,Gemona del friuli,Via Gleseute 47
Balbino,Bartolotti,BAOBAB93V18A207U,Martignacco,Via Borgo puppo 9
Aventino,La valle,LAVAVE16J09G773B,Campoformido,Viale Delle mimose 22
Rialdo,Olie',OLIRIL97O13E958Q,Ragogna,Via Boschit 2
Afro,Lugli,LUUAFF16X07J715Z,Spilimbergo,Via Degli abeti 22
Ondedo,Cazzetta,CAAOND53P29M451S,Sgonico,Frazione Borgo grotta gigante/briå ãˆiki 68
Deliso,Musso,MUUDEI53G20U404V,Pordenone,Via A. mantegna 68
Ferruglio,Manchisi,MACFEO41G32M480T,Fiumicello,Via Xxiv aprile 92
Belfiore,Da silva leao,DALBEE85V39I578Z,Majano,Via Gortani 2
Sigfredo,Paglialunga,PAASIG50Y09I751T,Pordenone,Viale Trento 36
Onorio,Russo corvace,RUAONN76U20A575Q,Romans d'isonzo,Via Lauretana 6
Dioscoride,Mercurio,MEIDIO53X10D165L,Sesto al reghena,Via Piave 4
Flamiano,Perfido,PEIFLN65S15B144I,Cordenons,Via Casali 18
Gualfredo,Sperillo,SPEGUE90E06V794I,Palmanova,Via Lion 12
Rosio,Marinelli,MAIROO19B30F738S,Ragogna,Via Al ponte 12
Noè,Kiyum,KIUNOO64E33K075G,Aviano,Via Strizzot 1
Balduccio,Striani,STIBAC14I36R240J,Brugnera,Via Del mas 23
Greco,Sirsi,SIIGRO57T17W662Z,San giorgio della richinvelda,Piazza San michele 17
Arbace,Minelli,MILARC01I23Y094X,Spilimbergo,Via C. percoto 8
Miniato,Galise,GAEMIT21B01T534X,Gemona del friuli,Via Carlo caneva 83
Geltrudo,Maurichi,MAIGED70T01N599D,Aviano,Via Giuseppe mazzini 32
Remes,Cotardo,COTREE30Y14B201B,Cividale del friuli,Via Santa dorotea 6
Danubio,Solimeno,SONDAO26D23S692B,Maniago,Via Fabio celotti 8
Bonardo,Giumentaro,GIRBON32X19G326C,Sgonico,Frazione Gabrovizza/gabrovec 88
Paulo,Murrieri,MURPAA07G06F648S,Azzano decimo,Via Comugne di sotto 7
Ausilio,Lovato,LOTAUO76J35L779S,Azzano decimo,Via Colle 20
Giorgio,Arditi,ARRGII26L21X711Y,Cividale del friuli,Via Valli del natisone 36
Cristoforo,Cicirillo,CICCRR83S13Z003Z,Pordenone,Via Misurina 4
Isauro,Cangianelli,CANISS22D33W915H,Savogna d'isonzo,Via Andrej jakil 13
Leone,Beltrante,BETLEO88Z38L731S,Sesto al reghena,Via Divisione iulia 1
Ottobrino,Bozzi corso,BOSOTT56N05O722Q,Cervignano del friuli,Via Giacomo antonelli 10
Orante,Graps,GRSORR95S17L238H,Pasiano di pordenone,Via Riva 20
Orvedo,Petre,PEEORV30T36U526T,Romans d'isonzo,Via Nazario sauro 14
Lombardo,Sanrocco,SAOLOR60Q09E558W,Fiumicello,Via Viezzi 30
Fidio,Chiavacci,CHIFID86D18F374S,Cividale del friuli,Via Luinis 37
Moraldo,Losacco,LOOMOA56I16S053L,Aviano,Via 24 maggio 1
Alcidio,Mollica,MOLALI95O23T713W,Maniago,Via Tesana nord 90
Goito,Indraccolo,INCGOO00M35O272A,Pagnacco,Via Dei platani 12
Saulle,Marin,MAASAE07O05L055F,Maniago,Via Giacomo leopardi 14
Remon,Nuzzone,NUEREE04Z16K126K,Pordenone,Via Meduna 51
Gemello,Bertola,BELGEE43G17U241V,Cordenons,Viale Di lares 15
Brunetto,Falbo,FAABRR69Y36I813C,Porcia,Via Gandin 18
Pancrazio,De palma,DEAPAI80O16U593Q,Coseano,Via Dell'artigianato 55
Idino,Ieva,IEEIDI40C25X895A,Gradisca d'isonzo,Via Caprin giuseppe 25
Idelmo,Citraro,CIRIDO47D13Q119A,Muggia,Salita Muggia vecchia 50
Lippo,Restante,REALII55H36H588Y,Buja,Strada Provinciale osovana 9
Giuffrida,Donnini,DONGIF38C10D155C,Campoformido,Via Cussignacco 78
Onezio,Muya,MUYONI14O34V013Z,Tricesimo,Via Gorizia 27
Cuono,Petrelli,PEECUO22K03A775G,San giorgio di nogaro,Via Emilia 78
Baldassarre,Rogondino,ROOBAA34C07I629D,Spilimbergo,Via Irene da spilimbergo 9
Melchiade,Iordache,IOCMEH92N20F651T,Buja,Via Ontegnano 25
Prudenzio,Barsi,BAAPRI52Y07X429K,Teor,Via Vittorio veneto 48
Christian,Ferraro,FEOCHH28Z09C172P,Spilimbergo,Via Sant'antonio 21
Sabato,Nicolae,NIASAT28Y00T685N,Precenicco,Via San urbano 4
Anterio,Lopetrone,LOOANT18H15W588D,San giovanni al natisone,Via Del corno 4
Eolo,Artigas,ARREOL77N31S270C,Martignacco,Via I maggio 71
Silfrido,Caniato,CAOSID81G13X057O,San giorgio della richinvelda,Via Xx settembre 3
Oster,Camero,CAEOST72G27N643K,Remanzacco,Via Blaceo bernardino 22
Iafet,Dervishi,DESIAA69T34F612O,Tarcento,Via Tricesimo 41
Anchise,Guzzardi,GUZANE24C30Y693E,Majano,Frazione Casasola 37
Sistilio,Carpinelli,CAASIO43U19A001Q,Cividale del friuli,Strada Di madriolo 17
Edmo,Tharmalingam,THAEDO52V25B562M,Buja,Via Squarcians 15
Manfredi,D'attis,D  MAI63B31P133C,Erto e casso,Via G. oberdan 26
Altero,De mauri,DEEALL21R08Q516B,Tricesimo,Via San bartolomeo 59
Fiorluigi,Buccolieri,BUCFII48E37A558P,Roveredo in piano,Via Pionieri dell'aria 13
Cataldo,Alarcio,ALACAT61H07A880O,Rivignano,Via Giuseppe mazzini 30
Bonardo,Acace,ACEBOA94U06I061A,San giovanni al natisone,Via P. zorutti 9
Giannello,Paglialunga,PAGGIN43Q16Q818J,Pordenone,Via D. cerdoni 3
Alighieri,Trove',TR ALR91G24K398N,Medea,Via Roma 15
Blando,Lotito,LOTBLN55W01H820X,Visco,Via Dante alighieri 18
Adamino,Pasquale,PAUADD81J00D011D,Pasian di prato,Via S.giacomo 6
Olfango,Ghelmegeanu,GHLOLN39V17J935C,Majano,Frazione S. tomaso 174
Lucinio,Tonno,TONLUI80M30P009W,Arzene,Via Dei bears 5
Dorindo,Mohammed,MOADON50Y11J967Q,Tricesimo,Via I. nievo 20
Albo,Alaibak,ALLALB94C10G746W,Medea,Via Zorutti 10
Franchino,Lopez craciun,LOEFRI87H31U836O,Cervignano del friuli,Via Alessandro volta 12
Esedra,Parise,PAAESE49O11J700K,Pordenone,Viale M. grigoletti 45
Liutprando,Quarato,QUALIO56C38I127T,Aquileia,Via G. bosi battisti 9
Freido,Panzetta,PATFRD14S11U020I,Azzano decimo,Viale Mores sotto 6
Celsino,Secli',SECCEE71R22A406V,Fiumicello,Via Bozzatta 10
Faustino,Marciante,MAAFAS69H01M143L,Buja,Via Dei fornaciai 1
Maffio,Lamorgese,LAEMAI96B18P896A,Castelnovo del friuli,Localita  Mostacins 24
Eco,Degliangeli,DENECO22V02K731E,Muggia,Via Carducci 5
Altavillo,Lippoli,LILALA14S24F047B,San dorligo della valle - dolina,Frazione Mattonaia 241
Primino,Magno,MAGPRI88E13F990L,Muzzana del turgnano,Via Stroppagallo 59
Redivo,Goiciu,GOORED53L11N706A,Pordenone,Via Della selva 8
Lucedio,Deaconu,DECLUU26W06I942J,Aquileia,Via Giulia augusta 67
Giammarco,Licchetta,LIEGIA58I21C630Y,Latisana,Via Roma 0
Giberto,Dinoi,DIIGIE88G21C331P,Reana del rojale,Via Cornappo 22
Divino,D'onofrio,D ODII57W02I947S,Muggia,Via Alighieri 29
Ortelio,Pignataro,PINORR40F14Z247G,Porcia,Via S.agnese 32
Publio,Lefonso,LEOPUB24A17D897H,Duino-aurisina,Frazione Slivia 6
Paradiso,Dazzi,DAZPAS19A34V040M,Buja,Via Arba 17
Gasparo,Sivakumaran,SIKGAA20X12M373Q,Pasiano di pordenone,Via Garibaldi 80
Aster,Caldarulo,CAOASE31T02O689J,Budoia,Via Brait 23
Gorello,Laudizi,LAIGOL20S18O270U,Tavagnacco,Via Centrale 16
Ribello,Blana,BLARIE65E23C791M,Buja,Via Dei mulini 15
Alindo,Giannini,GIIALN53A16G957Q,Farra d'isonzo,Via Contessa beretta 14
Guido,Cabibbo,CABGUD36O21X562Q,Cividale del friuli,Via Fornalis 249
Gianmichele,Piantedosi,PITGIE33F36Y142H,Rivignano,Via Udine 25
Aureliano,Malerba,MAEAUU96V04J385U,Muggia,Via Della torre 7
Nemesio,Mogavero,MOENEE36K34G166J,Pordenone,Via Rotate 26
Doriano,Cannillo,CALDOI71M34Q813C,Romans d'isonzo,Via Delle monache 7
Ruben,Campanella,CANRUN52J39N485Y,Pasian di prato,Via Villalta 6
Arduilio,Nardi,NADARR50Q20D836Z,Porcia,Via Serraglio 16
Liutprando,Marsiglia,MALLIO23Y18N361W,Aviano,Via Della segheria 1
Armidio,Betocchi,BEHARO99B34O828R,Gemona del friuli,Via Luigi burgi 32
Massimino,Capoccia,CACMAI88L02T483U,Muggia,Via Di noghere 162
Filippi,Arasula,ARLFII77J16G094O,Azzano decimo,Via Manzoni 8
Agnello,Cantanna,CAAAGL80R00C562X,Roveredo in piano,Via G. carducci 28
Balilla,Loiacono,LOIBAA59H38L013K,Porcia,Via Brunis 38
Gottardino,Contrino,COIGOI02T38N513P,Cervignano del friuli,Via Dei platani 24
Remedino,Parentera,PAEREE84V38K375N,Cervignano del friuli,Via Marco polo 15
Novaro,Cipolla,CIPNOO45B25C598G,Clauzetto,Via Gio maria fabricio 33
Olivano,Conturso,COROLA57Z08J352H,Reana del rojale,Via Segat 1
Edo,Indiveri,INIEDD97Q00O229V,Pordenone,Via Canaletto 36
Neero,Campolieti,CAINEE73U10O202C,Ragogna,Via Pellegrino da s.daniele 7
Elmiro,Lamosa,LAAELL70R14F028E,Pavia di udine,Via Pre' zaneto 25
Maruzzo,De falco,DELMAO43Z18J966C,San quirino,Via San valentino 34
Isabello,Erriquez,ERQISL70J17L793C,Savogna d'isonzo,Via I maggio 69
Ivreo,Buttari,BURIVR43A19E760T,Buja,Via Sopramonte 36
Evrardo,Pinervi,PIVEVO86H34S306M,Aviano,Via Italo svevo 40
Aloisio,Spalluto,SPPALI86Z33H191K,Lignano sabbiadoro,Piazza Del sole 36
Iseo,Calvara,CAAISS62V32R197Q,Montereale valcellina,Via De amicis 12
Savino,De maria,DEASAV06F19X780K,Cividale del friuli,Via Sant'apollonia 22
Gonario,Tresca,TRSGOA15E31F037U,San quirino,Via Nannavecchia 69
Ontario,Angelelli,ANLONI17R08R706C,Cordovado,Via Belvedere 80
Risorgi,Fait,FAARIS24E06A663T,Remanzacco,Vicolo Italico 2
Rezzieri,De blasi macchia,DE REZ40G29P573D,Duino-aurisina,Frazione Sistiana 12
Armido,Pingi,PIIARM24Y09G268F,Buja,Via Spilungje 14
Sonio,Fedili,FEISON20D32K600O,Gemona del friuli,Via Gleseute 60
Pergentino,Arizi,ARIPEG36H14P003E,Gonars,Via Aquileia 30
Elzio,Lumare,LUUELO24T07R861Q,Rivignano,Via Gabriele d'annunzio 42
